1,373,4,M,A,55,3,56,N,52,MSPHF,K,INJ,ES,170-180,M1,3
0,47,7,F,C,26,2,24,N,90,BER,C,CAR,ES,160-170,B,3
0,109,5,F,C,50,1,29,N,60,BER,E,INJ,GO,150-160,B,3
0,211,10,M,C,50,1,38,N,85,BER,K,INJ,ES,190-200,H,3
0,147,10,M,C,50,1,41,N,95,BER,D,CAR,ES,130-140,B,3
0,265,10,F,C,50,2,40,N,50,BER,A,CAR,ES,130-140,A,1
1,198,1,M,C,66,3,34,N,75,MSPHF,Q,IDS,GO,200-220,H,2
1,239,1,M,A,50,3,47,N,77,BER,R,IDS,GO,200-220,H,1
0,202,10,F,C,37,1,35,N,95,BER,F,CAR,ES,150-160,B,2
0,606,1,M,A,60,1,74,N,54,BER,L,IDS,GO,190-200,M2,3
0,318,3,F,A,1,3,49,N,60,BER,J,INJ,ES,190-200,B,3
0,549,9,M,A,50,3,64,N,50,BER,L,INJ,ES,180-190,M2,2
0,354,9,M,A,1,3,71,N,50,CTE,G,INJ,GO,130-140,0,1
0,98,9,F,A,50,2,26,O,60,BER,E,INJ,GO,150-160,B,3
0,440,7,F,A,50,1,62,N,50,BER,M,INS,ES,200-220,M1,3
0,619,1,M,C,60,1,69,N,50,BRK,J,IDS,GO,180-190,B,1
0,404,2,M,A,46,3,55,N,50,MSPF,O,IDS,GO,170-180,H,2
1,314,1,F,A,50,2,53,N,50,BER,G,INJ,ES,160-170,B,3
0,431,10,M,A,50,2,58,N,50,BER,I,INJ,GO,160-170,M1,3
1,212,4,F,C,50,2,36,N,50,BER,D,INJ,ES,150-160,A,3
0,247,5,M,A,50,1,43,N,56,BER,K,INJ,ES,180-190,M1,3
0,540,10,M,A,60,1,66,N,50,BER,H,INJ,ES,170-180,M2,3
0,298,10,M,A,55,1,46,N,50,CPE,H,CAR,ES,180-190,H,3
0,151,10,M,A,50,1,53,N,64,BER,F,CAR,ES,150-160,B,3
0,581,9,M,A,60,1,67,N,50,CTE,G,INJ,GO,130-140,M1,3
0,79,10,M,C,48,2,25,N,90,CTE,F,INJ,GO,130-140,0,3
0,126,9,M,C,50,1,32,N,95,BER,K,INJ,ES,190-200,M2,3
0,570,4,M,A,60,1,72,N,50,BER,V,INJ,ES,S220,H,2
0,569,10,M,A,60,1,69,O,50,BER,D,INJ,GO,150-160,B,3
0,479,10,F,A,50,1,70,N,50,BER,J,CAR,ES,170-180,M2,3
0,102,10,M,A,26,2,35,N,90,BER,H,CAR,ES,180-190,M2,3
0,374,1,M,A,50,2,53,N,50,BRK,R,INJ,ES,S220,H,3
0,217,10,M,C,50,2,38,N,85,BER,F,CAR,ES,160-170,M1,3
0,423,10,M,C,50,1,55,N,50,BER,I,INJ,ES,190-200,M1,3
0,140,1,F,A,48,1,36,N,95,MSPF,K,INJ,ES,180-190,M1,2
1,247,3,F,A,50,2,38,O,50,BER,F,INJ,ES,160-170,B,3
1,132,1,F,A,50,3,29,N,54,BER,M,INS,ES,200-220,M1,3
0,401,0,F,A,50,2,58,N,50,BRK,L,IDS,GO,180-190,M1,3
0,402,10,M,A,50,1,53,N,50,BER,G,CAR,ES,170-180,M1,3
0,342,10,F,A,1,3,48,N,64,BER,H,INJ,ES,170-180,M1,3
1,108,5,M,C,55,1,27,N,54,BER,J,IDS,GO,170-180,M1,3
0,253,2,F,A,50,2,40,O,50,BER,E,INJ,ES,160-170,A,2
0,223,10,M,A,50,1,45,N,90,MSPF,M,INJ,ES,170-180,H,3
0,62,3,F,A,50,2,23,N,76,BER,F,INJ,ES,150-160,B,3
0,300,0,F,A,60,1,79,O,50,BER,H,INJ,ES,170-180,B,3
0,253,10,F,A,55,2,48,N,50,BER,E,CAR,ES,130-140,B,3
0,405,7,F,A,50,2,54,N,95,BRK,H,INJ,ES,170-180,M1,3
0,57,10,M,A,50,2,37,N,106,BER,K,CAR,ES,170-180,H,3
0,489,1,M,A,50,3,59,N,50,BER,G,INJ,ES,160-170,B,3
0,357,3,M,A,50,2,52,N,50,MSPHF,O,IDS,GO,170-180,H,3
0,340,3,M,A,48,3,59,N,50,CTE,H,INJ,GO,140-150,M1,3
0,240,1,M,A,48,2,38,N,76,BRK,L,INJ,ES,170-180,H,2
0,90,9,M,C,50,1,28,N,95,BER,E,INJ,ES,150-160,B,3
0,186,9,M,A,50,1,34,N,57,BRK,M,INJ,ES,190-200,M2,2
1,393,3,F,A,50,2,51,N,118,BER,F,INJ,ES,160-170,B,3
0,67,9,F,A,50,1,26,N,80,BER,H,INJ,ES,170-180,M1,3
0,670,0,M,A,1,4,79,N,50,BER,F,INJ,ES,160-170,A,3
0,63,10,M,C,26,2,28,N,100,CAB,M,INJ,ES,180-190,M2,3
0,145,9,F,C,50,1,31,N,51,BER,G,INJ,GO,160-170,B,3
0,591,2,M,A,60,1,73,N,50,BER,L,INJ,ES,200-220,M2,3
0,233,10,M,A,37,1,40,N,100,BER,I,INJ,ES,170-180,M2,3
0,51,4,F,C,50,3,28,N,95,BER,F,INJ,ES,150-160,B,3
0,238,3,F,A,50,2,37,N,51,CPE,D,INS,ES,130-140,A,2
0,91,5,F,C,55,2,28,N,95,CPE,E,INS,ES,130-140,A,3
0,14,10,F,C,26,2,21,N,95,BER,B,CAR,ES,150-160,B,3
0,468,9,F,A,50,1,57,N,112,BER,L,INJ,ES,170-180,B,2
0,468,0,M,A,42,4,57,N,50,BER,L,INJ,ES,200-220,M1,3
0,235,5,M,C,55,2,37,N,50,TT,M,INJ,ES,170-180,H,2
0,223,10,M,C,50,1,36,O,57,BER,I,INJ,ES,170-180,M1,3
0,118,10,F,A,50,1,31,N,72,BER,C,CAR,ES,140-150,B,3
0,250,4,F,C,50,2,39,N,50,BER,F,INJ,ES,150-160,A,1
0,361,9,M,A,42,2,48,N,90,BER,C,INJ,ES,140-150,A,3
0,576,3,M,A,60,1,73,N,50,BER,K,INJ,ES,190-200,M2,2
0,188,1,M,C,50,2,35,N,50,BER,K,IDS,GO,190-200,M1,3
0,247,10,M,C,1,1,40,N,90,CPE,K,INJ,ES,180-190,M2,3
1,95,2,M,A,50,2,26,N,90,BER,H,INJ,ES,190-200,B,3
0,461,0,M,A,55,2,56,N,50,CPE,E,INS,ES,130-140,A,3
0,346,4,M,A,50,1,52,N,50,MSPHF,N,INJ,ES,180-190,H,3
1,346,9,M,A,50,2,50,N,55,MSPHF,N,INS,GO,170-180,H,3
0,49,10,M,C,26,2,22,N,95,BER,G,CAR,ES,170-180,M1,3
0,362,1,F,A,50,2,48,N,50,TT,M,INJ,ES,170-180,M2,3
1,121,2,F,C,50,2,29,O,76,BER,J,INJ,ES,190-200,B,3
0,527,1,F,A,37,1,64,N,65,CAB,J,INJ,ES,180-190,B,3
0,91,10,F,C,50,2,30,N,90,BER,C,CAR,ES,130-140,B,3
0,460,4,M,A,50,1,57,O,50,BER,M,IDS,GO,190-200,M2,3
0,574,5,M,A,60,1,68,N,50,BER,G,INJ,ES,180-190,B,3
0,280,5,F,A,50,2,43,N,68,BER,E,INJ,ES,150-160,A,3
0,360,2,F,A,50,1,55,O,60,BER,E,INJ,ES,160-170,B,2
0,108,4,F,A,50,2,34,N,95,BRK,I,INJ,ES,180-190,M1,3
0,437,9,F,A,50,1,60,N,95,BER,G,INJ,ES,170-180,B,3
0,238,10,F,C,50,1,43,N,76,BER,D,CAR,ES,150-160,B,3
0,287,10,F,A,50,2,43,N,50,BER,K,INJ,ES,190-200,M2,3
0,108,3,F,C,50,3,30,N,60,BER,I,IDS,GO,170-180,M1,3
0,202,5,M,A,50,2,36,N,50,TT,L,INJ,ES,160-170,H,2
0,327,10,M,A,50,2,45,O,50,BER,M,INJ,ES,190-200,M2,3
0,525,1,M,A,1,3,63,N,50,BER,D,INJ,ES,150-160,B,3
1,132,5,M,A,50,2,34,N,54,BER,O,INJ,ES,190-200,M2,3
0,401,5,M,A,1,3,58,N,50,BRK,K,INJ,ES,190-200,M2,2
0,455,1,M,A,60,1,77,N,50,BER,I,INJ,ES,190-200,B,3
0,387,2,M,A,48,1,61,N,60,MSPHF,O,IDS,GO,180-190,H,3
0,208,10,F,A,50,2,39,N,60,BER,A,CAR,ES,130-140,A,3
1,179,7,F,C,42,1,34,N,68,CAB,K,INJ,ES,190-200,M1,2
0,633,7,F,A,60,1,78,O,50,BER,E,INJ,ES,170-180,B,3
0,199,2,M,C,50,2,36,N,50,BER,K,IDS,GO,190-200,M1,3
0,469,9,M,A,1,3,57,N,50,MSPHF,N,INS,GO,150-160,H,1
